Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 04/26  05:00:00,0.719792747146876,7.31996808525639,0.000000000000000E+000,6.64533798445994,0.000000000000000E+000,0.182967983180831,0.182967983180831,0.182967983180831,6.934340918976298E-002,1.510816208327000E-002,8.619823570287033E-002,0.349062943300542,0.650587443299330 
 04/26  06:00:00,0.881623973894695,7.86649676494871,0.000000000000000E+000,6.67551809570151,0.000000000000000E+000,0.183798940778316,0.183798940778316,0.183798940778316,0.114212654290690,2.488402738120598E-002,0.138308432905419,0.403307904849463,1.16319974281492 
 04/26  07:00:00,1.09101485964634,7.07677809189522,0.000000000000000E+000,5.74181955618986,0.000000000000000E+000,0.158091152991926,0.158091152991926,0.158091152991926,0.212109227053126,4.621319630977747E-002,0.213944392031827,0.428544865570085,1.30544134511608 
 04/26  08:00:00,1.00680222970207,6.51610985568346,0.000000000000000E+000,5.22134354298810,0.000000000000000E+000,0.143760738699647,0.143760738699647,0.143760738699647,0.171318981436035,3.732604107180897E-002,0.274974524459516,0.362309930345465,1.26981123301621 
 04/26  09:00:00,0.886022072072935,5.72012856200597,0.000000000000000E+000,4.54060939658253,0.000000000000000E+000,0.125017891587669,0.125017891587669,0.125017891587669,8.158048287489020E-002,1.777430683338409E-002,0.336182328282564,0.308355048804828,1.15828037463166 
 04/26  10:00:00,0.883048585566245,5.38484905431835,0.000000000000000E+000,4.33767709776596,0.000000000000000E+000,0.119430498813435,0.119430498813435,0.119430498813435,6.526438462805398E-002,1.421944655947315E-002,0.351415192863779,0.315607049011904,1.02543366456607 
 04/26  11:00:00,0.871889203504321,4.30514296458456,0.000000000000000E+000,3.37752784324595,0.000000000000000E+000,9.299443595810314E-002,9.299443595810314E-002,9.299443595810314E-002,6.526438462805398E-002,1.421944655947315E-002,0.366595180321093,0.315703742347997,0.905870169336375 
 04/26  12:00:00,0.839804209478102,3.59211193924845,0.000000000000000E+000,2.75743111485494,0.000000000000000E+000,7.592113614460200E-002,7.592113614460200E-002,7.592113614460200E-002,6.526438462805398E-002,1.421944655947315E-002,0.356901619593564,0.310385608862808,0.813302173267251 
 04/26  13:00:00,0.804640027198173,3.04732971035268,0.000000000000000E+000,2.26731982547747,0.000000000000000E+000,6.242676244062250E-002,6.242676244062250E-002,6.242676244062250E-002,6.526438462805398E-002,1.421944655947315E-002,0.324498850711145,0.321118569169280,0.757891971981034 
 04/26  14:00:00,0.787624367626629,2.62965960632864,0.000000000000000E+000,1.90308728330431,0.000000000000000E+000,5.239824413108066E-002,5.239824413108066E-002,5.239824413108066E-002,6.526438462805398E-002,1.421944655947315E-002,0.299430055599500,0.339200223018920,0.703208987151773 
 04/26  15:00:00,0.805273728459387,2.28622622803520,0.000000000000000E+000,1.55096778379927,0.000000000000000E+000,4.270323767486420E-002,4.270323767486420E-002,4.270323767486420E-002,6.526438462805398E-002,1.421944655947315E-002,0.307919222350081,0.358055423557315,0.710596405257564 
 04/26  16:00:00,0.919143538807232,2.25433820773578,0.000000000000000E+000,1.44781519241037,0.000000000000000E+000,3.986310800043089E-002,3.986310800043089E-002,3.986310800043089E-002,6.934340918976298E-002,1.510816208327000E-002,0.354200033750992,0.423516812093179,0.777352145564344 
 04/26  17:00:00,1.13725843311262,2.88581996178937,0.000000000000000E+000,1.93110975465806,0.000000000000000E+000,5.316979481508322E-002,5.316979481508322E-002,5.316979481508322E-002,9.381757327859858E-002,2.044045886860401E-002,0.438213351102789,0.514505241357947,0.919272262382758 
 04/26  18:00:00,1.26000734116671,2.85861374143494,0.000000000000000E+000,1.77122168024689,0.000000000000000E+000,4.876755092950675E-002,4.876755092950675E-002,4.876755092950675E-002,0.171318981436035,3.732604107180897E-002,0.396885327422791,0.558597402616962,1.04891714917671 
 04/26  19:00:00,1.38250660664089,3.08883425900085,0.000000000000000E+000,1.97926837630221,0.000000000000000E+000,5.449575985939023E-002,5.449575985939023E-002,5.449575985939023E-002,0.338558963388235,7.376337208365046E-002,0.321994134489507,0.576582363130508,1.06985220772485 
 04/26  20:00:00,1.63905179890121,3.36361980507552,0.000000000000000E+000,2.32951680895595,0.000000000000000E+000,6.413924969914898E-002,6.413924969914898E-002,6.413924969914898E-002,0.554747273518103,0.120865296666160,0.285783468298347,0.596404497029846,0.993024017880720 
 04/26  21:00:00,1.67589039643801,3.71653889702966,0.000000000000000E+000,2.77748237880474,0.000000000000000E+000,7.647321330511671E-002,7.647321330511671E-002,7.647321330511671E-002,0.599616518619031,0.130641161964096,0.269566832227902,0.582480656632261,0.898936582279568 
 04/26  22:00:00,1.37678888038098,4.09873396043452,0.000000000000000E+000,3.31662777062959,0.000000000000000E+000,9.131765691567709E-002,9.131765691567709E-002,9.131765691567709E-002,0.448692701787994,9.775868940488895E-002,0.217845457523059,0.504062361059758,0.747387526776515 
 04/26  23:00:00,1.09884052186852,4.91598424282055,0.000000000000000E+000,4.30216076253980,0.000000000000000E+000,0.118452617441336,0.118452617441336,0.118452617441336,0.310005799815561,6.754236523834896E-002,0.147706913176347,0.438020812507328,0.583653608130605 
 04/26  24:00:00,0.806086566921643,5.32710310084315,0.000000000000000E+000,4.89219004409568,0.000000000000000E+000,0.134698061678540,0.134698061678540,0.134698061678540,0.159081899391618,3.465989267914196E-002,9.822476913727689E-002,0.362309930345465,0.409957977068314 
 04/27  01:00:00,0.709294368652510,6.00286734461576,0.000000000000000E+000,5.64951692420409,0.000000000000000E+000,0.155549758339583,0.155549758339583,0.155549758339583,9.789657276243555E-002,2.132916892857149E-002,8.381484540687240E-002,0.333592009525450,0.330373365462859 
 04/27  02:00:00,0.663177974207722,6.33500746318786,0.000000000000000E+000,6.00401946602270,0.000000000000000E+000,0.165310377778460,0.165310377778460,0.165310377778460,6.526438462805398E-002,1.421944655947315E-002,7.154747547045819E-002,0.329724276081677,0.308277342853452 
 04/27  03:00:00,0.657923639302263,6.58942333601615,0.000000000000000E+000,6.25311189118148,0.000000000000000E+000,0.172168710456723,0.172168710456723,0.172168710456723,6.526438462805398E-002,1.421944655947315E-002,6.407608801926525E-002,0.325082995949147,0.313920471287490 
 04/27  04:00:00,0.663770931536295,6.95254093617777,0.000000000000000E+000,6.55471680149283,0.000000000000000E+000,0.180472884343161,0.180472884343161,0.180472884343161,6.526438462805398E-002,1.421944655947315E-002,7.389926005084047E-002,0.312802942265167,0.376278983160496 
 04/27  05:00:00,0.725669306214750,7.53254649125770,0.000000000000000E+000,6.85877270955644,0.000000000000000E+000,0.188844542248705,0.188844542248705,0.188844542248705,6.934340918976298E-002,1.510816208327000E-002,8.619823570287033E-002,0.349062943300542,0.649731124204122 
 04/27  06:00:00,0.886200926751599,8.03009700858705,0.000000000000000E+000,6.84175154345733,0.000000000000000E+000,0.188375893635222,0.188375893635222,0.188375893635222,0.114212654290690,2.488402738120598E-002,0.138308432905419,0.403307904849463,1.16056653869743 
 04/27  07:00:00,1.09329200666311,7.15650241003154,0.000000000000000E+000,5.82452479949878,0.000000000000000E+000,0.160368300008691,0.160368300008691,0.160368300008691,0.212109227053126,4.621319630977747E-002,0.213944392031827,0.428544865570085,1.30246041994349 
 04/27  08:00:00,1.00312440388519,6.37950460434477,0.000000000000000E+000,5.08776609858351,0.000000000000000E+000,0.140082912882765,0.140082912882765,0.140082912882765,0.171318981436035,3.732604107180897E-002,0.274974524459516,0.362309930345465,1.26678342608210 
 04/27  09:00:00,0.878244208303599,5.43483420860647,0.000000000000000E+000,4.25811989953628,0.000000000000000E+000,0.117240027818334,0.117240027818334,0.117240027818334,8.158048287489020E-002,1.777430683338409E-002,0.336182328282564,0.308355048804828,1.15547551827839 
 04/27  10:00:00,0.866932415981900,4.79718569802657,0.000000000000000E+000,3.75234302979955,0.000000000000000E+000,0.103314329229090,0.103314329229090,0.103314329229090,6.526438462805398E-002,1.421944655947315E-002,0.351415192863779,0.315607049011904,1.02310437624069 
 04/27  11:00:00,0.853503050330333,3.63572877254430,0.000000000000000E+000,2.70974870532732,0.000000000000000E+000,7.460828278411487E-002,7.460828278411487E-002,7.460828278411487E-002,6.526438462805398E-002,1.421944655947315E-002,0.366595180321093,0.315703742347997,0.904235115214747 
 04/27  12:00:00,0.815985340411636,2.72575332651632,0.000000000000000E+000,1.89233749244871,0.000000000000000E+000,5.210226707813560E-002,5.210226707813560E-002,5.210226707813560E-002,6.526438462805398E-002,1.421944655947315E-002,0.356901619593564,0.310385608862808,0.812037182941354 
 04/27  13:00:00,0.779050665312103,2.11743747198192,0.000000000000000E+000,1.33792247637110,0.000000000000000E+000,3.683740055455076E-002,3.683740055455076E-002,3.683740055455076E-002,6.526438462805398E-002,1.421944655947315E-002,0.324498850711145,0.321118569169280,0.757397082716651 
