Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 05/27  18:00:00,0.987094331142,0.284104048945,0.0,0.0,0.0,0.0,0.0,0.0,0.123938004705,0.0270029334473,0.229339398762,0.559701994228,0.245553055189
 05/27  19:00:00,1.04718657918,0.285616778207,0.0,0.0,0.0,0.0,0.0,0.0,0.24787600941,0.0540058486818,0.150470202205,0.577722518882,0.245824571912
 05/27  20:00:00,1.25997659614,0.287347254595,0.0,0.0,0.0,0.0,0.0,0.0,0.435553471021,0.094896004004,0.114831271295,0.597583849817,0.246187045232
 05/27  21:00:00,1.39426784265,0.286717281478,0.0,0.0,0.0,0.0,0.0,0.0,0.570114788205,0.124213468359,0.0991951101981,0.583632475892,0.246518010855
 05/27  22:00:00,1.14943564194,0.281465313165,0.0,0.0,0.0,0.0,0.0,0.0,0.4461767835,0.0972105349122,0.0838772105124,0.505059113019,0.24667799614
 05/27  23:00:00,0.908613032756,0.277357287639,0.0,0.0,0.0,0.0,0.0,0.0,0.31161554991,0.0678930887695,0.0731054226646,0.438886971413,0.247127756444
 05/27  24:00:00,0.640491950481,0.272285342964,0.0,0.0,0.0,0.0,0.0,0.0,0.15934885125,0.0347180546875,0.066286668852,0.363026375692,0.247280916168
 05/28  01:00:00,0.543055643665,0.640533965461,0.0,0.370142426168,0.0,0.0101912368286,0.0101912368286,0.0101912368286,0.09560931075,0.0208308328125,0.065060596304,0.33425166697,0.247369048648
 05/28  02:00:00,0.51099888372,1.24495014713,0.0,0.9749274762,0.0,0.0268429558414,0.0268429558414,0.0268429558414,0.0637395321407,0.0138872200537,0.0590408903606,0.330376285324,0.247267107717
 05/28  03:00:00,0.518671149236,1.750418106,0.0,1.48099589135,0.0,0.0407766816335,0.0407766816335,0.0407766816335,0.0637395321407,0.0138872200537,0.0574298880592,0.325725827349,0.246986964342
